ISCDS All Web 


duration	No
-------	      -------
1.58.52		1
1.12.58		2
2.23.31		3
2.2.21		4
2.21.14		5
1.55.17		6
2.24.9		7
2.36.28		8
1.37.40		9
1.53.20		10
2.29.4		11
1.50.34		12
2.31.26		13
2.2.3		14
2.34.24		15	
1.54.39		16
2.31.32		17
2.19.8		18
2.23.15		19
1.53.36		20
2.28.46		21
1.41.34		22
2.21.51		23
1.51.45		24
1.51.12		25
2.26.20		26
2.27.5		27
1.46.6		28
2.12.28		29 
1.49.1		30
2.23.10		31
1.49.25		32
2.14.6		33
2.8.59		34
2.32.18		35
1.52.50		36
2.42.44		37
1.47.14		38
1.4.33		39
2.14.54		40
2.13.36		41
